# time(s) x(m) y(m) z(m) V(m/s) Mach Cd
0.000000 0.000000 0.000000 0.000000 220.400000 0.647679 0.127361
0.010000 0.421443 0.000000 2.162604 220.257313 0.647275 0.127368
0.020000 0.842796 0.000000 4.323773 220.114694 0.646872 0.127375
0.030000 1.264062 0.000000 6.483505 219.972144 0.646468 0.127382
0.040000 1.685238 0.000000 8.641804 219.829663 0.646065 0.127389
0.050000 2.106326 0.000000 10.798668 219.687250 0.645663 0.127396
0.060000 2.527326 0.000000 12.954098 219.544906 0.645260 0.127403
0.070000 2.948237 0.000000 15.108096 219.402630 0.644857 0.127410
0.080000 3.369060 0.000000 17.260662 219.260422 0.644455 0.127417
0.090000 3.789795 0.000000 19.411796 219.118282 0.644053 0.127424
0.100000 4.210442 0.000000 21.561500 218.976211 0.643651 0.127431
0.110000 4.631001 0.000000 23.709773 218.834207 0.643249 0.127437
0.120000 5.051472 0.000000 25.856618 218.692272 0.642848 0.127444
0.130000 5.471855 0.000000 28.002033 218.550404 0.642446 0.127451
0.140000 5.892151 0.000000 30.146020 218.408604 0.642045 0.127458
0.150000 6.312359 0.000000 32.288580 218.266872 0.641644 0.127464
0.160000 6.732479 0.000000 34.429712 218.125208 0.641243 0.127471
0.170000 7.152512 0.000000 36.569419 217.983611 0.640842 0.127478
0.180000 7.572458 0.000000 38.707700 217.842081 0.640441 0.127484
0.190000 7.992316 0.000000 40.844556 217.700619 0.640041 0.127491
0.200000 8.412087 0.000000 42.979989 217.559225 0.639641 0.127497
0.210000 8.831771 0.000000 45.113997 217.417897 0.639240 0.127504
0.220000 9.251369 0.000000 47.246583 217.276637 0.638841 0.127510
0.230000 9.670879 0.000000 49.377746 217.135444 0.638441 0.127517
0.240000 10.090302 0.000000 51.507488 216.994318 0.638041 0.127523
0.250000 10.509639 0.000000 53.635809 216.853259 0.637642 0.127529
0.260000 10.928889 0.000000 55.762709 216.712266 0.637242 0.127536
0.270000 11.348052 0.000000 57.888190 216.571341 0.636843 0.127542
0.280000 11.767129 0.000000 60.012252 216.430482 0.636444 0.127548
